 "valueURI" , "valueLabel" ,
 "http://purl.org/obo/owlapi/quality#PATO_0000033" , "concentration" ,
 "http://purl.org/obo/owlapi/quality#PATO_0000161" , "rate" ,
 "http://purl.org/obo/owlapi/quality#PATO_0000070" , "count" ,
 "http://purl.org/obo/owlapi/quality#PATO_0001470" , "ratio" ,
 "http://purl.org/obo/owlapi/quality#PATO_0001309" , "duration" ,
 "http://purl.org/obo/owlapi/quality#PATO_0000011" , "age" ,
 "http://purl.org/obo/owlapi/quality#PATO_0000918" , "volume" ,
 "http://purl.org/obo/owlapi/quality#PATO_0002326" , "angle" ,
 "http://purl.org/obo/owlapi/quality#PATO_0001745" , "radiation absorbed dose" ,
 "http://www.chic-vph.eu/ontologies#chic_0001020" , "timepoint (duration to)" ,
 "http://www.chic-vph.eu/ontologies#chic_0001021" , "doubling time (duration)" ,
 "http://www.chic-vph.eu/ontologies#chic_0001022" , "percentage (ratio)" ,
 "http://www.chic-vph.eu/ontologies#chic_0001023" , "probability (ratio)" ,
 "http://www.chic-vph.eu/ontologies#chic_0001025" , "cell kill rate (probability)" ,
 "http://www.chic-vph.eu/ontologies#chic_0001024" , "rate of proliferation of cell population" ,
 "http://www.chic-vph.eu/ontologies#chic_0001026" , "count of cells in population" ,
